nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
El Carmen Colonial,Apartamentos,El Carmen de Viboral,Campo Alegre,https://www.informeinmobiliario.com/apartamentos-venta-el-carmen-de-viboral-campo-alegre/proyecto/1153,186902100.0,51.0,2,2,2025 - 2026,No info,1,No info
Alerce,Apartamentos,Risaralda,Dosquebradas,https://www.informeinmobiliario.com/apartamentos-venta-risaralda-dosquebradas/proyecto/1507,167200000.0,40.0,1,2,No info,No info,No info,No info
Alerce,Apartamentos,Risaralda,Dosquebradas,https://www.informeinmobiliario.com/apartamentos-venta-risaralda-dosquebradas/proyecto/1507,1672000000.0,44.0,1,3,No info,No info,No info,No info
Tierra Linda Campestre,Apartamentos,Bello,Machado,https://www.informeinmobiliario.com/apartamentos-venta-bello-machado/proyecto/1510,162400000.0,43.0,1,2,No info,No info,No info,No info
Tierra Linda Campestre,Apartamentos,Bello,Machado,https://www.informeinmobiliario.com/apartamentos-venta-bello-machado/proyecto/1510,1624000000.0,61.0,2,3,No info,No info,No info,No info
Tierra Linda Campestre,Apartamentos,Bello,Machado,https://www.informeinmobiliario.com/apartamentos-venta-bello-machado/proyecto/1510,16240000000.0,61.0,2,3,No info,No info,No info,No info
Pino Azul,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/1213,165996000.0,51.0,2,3,2025,No info,No info,No info
Altua,Apartamentos,Yopal,,https://www.informeinmobiliario.com/apartamentos-venta-yopal/proyecto/1447,150800000.0,45.0,1,2,2023-2024,No info,No info,No info
Altua,Apartamentos,Yopal,,https://www.informeinmobiliario.com/apartamentos-venta-yopal/proyecto/1447,156600000.0,55.0,2,3,2023-2024,No info,No info,No info
Aires de Palermo,Apartamentos,Bogotá,,https://www.informeinmobiliario.com/apartamentos-venta-bogota/proyecto/1448,163328000.0,48.0,1,2,2025,No info,No info,No info
Aires de Palermo,Apartamentos,Bogotá,,https://www.informeinmobiliario.com/apartamentos-venta-bogota/proyecto/1448,178538000.0,50.0,2,3,2025,No info,No info,No info
Siembra,Apartamentos,Bello,Paris,https://www.informeinmobiliario.com/apartamentos-venta-bello-paris/proyecto/952,160425100.0,38.0,1,2,2025,No info,No info,No info
Siembra,Apartamentos,Bello,Paris,https://www.informeinmobiliario.com/apartamentos-venta-bello-paris/proyecto/952,1604251000.0,38.0,1,2,2025,No info,No info,No info
Nogales De Belverde,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/964,183000000.0,48.0,2,3,2025,No info,No info,No info
Nogales De Belverde,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/964,204800000.0,54.0,2,3,2025,No info,No info,No info
